"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","report Missouri Saint Joseph guncontrolnow",FALSE,0,NA,2017-10-23 04:26:20,FALSE,NA,"922318245696360450",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"2","we cant continue to debate this issue while people are dying we need action now GunControlNow",FALSE,0,NA,2017-10-23 04:25:45,FALSE,NA,"922318098434330625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kristalswift",10332,TRUE,FALSE,NA,NA
"3","GunControlNow stopgunviolence",FALSE,0,NA,2017-10-23 04:07:31,FALSE,NA,"922313511962898432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","magdacoss",0,FALSE,FALSE,NA,NA
"4","Its funny how people will put their effort towards absolutely anything except the obvious GunControlNow",FALSE,0,NA,2017-10-23 04:05:50,FALSE,NA,"922313085951426560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ecgladstone",0,FALSE,FALSE,NA,NA
"5","Yelling fire in a theater is not protected free speech Threatened violenceassault using a firearm is abuse",FALSE,0,"KHOU",2017-10-23 03:51:45,TRUE,"922307869608988673","922309542121234432","15791186","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wilwallace13",0,FALSE,FALSE,NA,NA
"6","I lost track of the time when the outrage died down About days days gunsense needs to trendALWAYS",FALSE,4,NA,2017-10-23 03:49:48,TRUE,NA,"922309053102956544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acarlson1018",3,FALSE,FALSE,NA,NA
"7","GunControlNow",FALSE,0,"FoxNews",2017-10-23 03:43:29,FALSE,"922302308527906816","922307464485376005","1367531","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DebestaIda",0,FALSE,FALSE,NA,NA
"8","new report Kenneth Loftin Jr guncontrolnow",FALSE,0,NA,2017-10-23 03:41:20,FALSE,NA,"922306920291225606",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"9","And all talk of reasonable GunControlNow is over until some whacko white guy kills again Sad what this",FALSE,0,"ddiamond",2017-10-23 03:37:29,TRUE,"922295032371130368","922305951117352960","16868756","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zannell1",0,FALSE,FALSE,NA,NA
"10","new report Yousef Alzyoud guncontrolnow",FALSE,0,NA,2017-10-23 03:36:20,FALSE,NA,"922305661878358017",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
